index,propertyCode,price,log_price,nom_comar,municipality,propertyType,size,cat_size,rooms,bathrooms,floor_grouped,hasLift,latitude,longitude
3915,108814606,340200.0,12.737291898386962,Baix Llobregat,Esplugues de Llobregat,flat,65.0,Mediana,2,1,0,1,41.3704511,2.0809334
3916,108814563,262000.0,12.476103599529843,Barcelonès,Hospitalet de Llobregat,flat,60.0,Mediana,3,0,0,0,41.3635541,2.1257791
3917,108814523,450000.0,13.017005083966255,Barcelonès,Barcelona,flat,99.0,Grande,2,1,0,1,41.3853263,2.168545
3918,108814458,299000.0,12.608202196848836,Maresme,Calella,flat,98.0,Grande,3,1,3-4,1,41.6129288,2.6511034
3919,108807358,249900.0,12.428820118415677,Vallès Occidental,Terrassa,flat,110.0,Grande,3,2,5+,1,41.5475096,2.0197431
3920,108814501,535000.0,13.190023895035274,Maresme,Mataró,flat,129.0,Grande,3,2,5+,1,41.5254723,2.4337823
3921,108814032,134000.0,11.80560254159177,Vallès Oriental,Mollet del Vallès,flat,54.0,Mediana,2,1,0,1,41.5434845,2.2123443
3922,108814395,180000.0,12.100717685412471,Baix Llobregat,Viladecans,flat,84.0,Mediana,2,1,3-4,1,41.3109145,2.0087087
3923,108814357,150000.0,11.918397239722838,Baix Llobregat,Cornellà de Llobregat,flat,82.0,Mediana,3,1,2,0,41.3627745,2.0784884
3924,108814398,515000.0,13.151924121391561,Garraf,Sitges,flat,75.0,Mediana,3,2,0,0,41.23816,1.7996982
3925,107586715,370000.0,12.821260987319457,Barcelonès,Barcelona,flat,46.0,Pequeña,1,1,0,1,41.386823,2.1443081
3926,108814213,292000.0,12.584512505902088,Barcelonès,Barcelona,flat,90.0,Mediana,3,1,3-4,1,41.4247593,2.1844027
3927,108814131,495000.0,13.112315061750808,Barcelonès,Barcelona,flat,93.0,Grande,4,1,3-4,1,41.3978155,2.1886653
3928,108813719,350000.0,12.765691290604371,Barcelonès,Hospitalet de Llobregat,penthouse,99.0,Grande,3,1,0,1,41.3590202,2.0999412
3929,108814079,180000.0,12.100717685412471,Barcelonès,Hospitalet de Llobregat,flat,70.0,Mediana,3,1,0,1,41.354417,2.1110012
3930,108814006,650000.0,13.384729180332174,Barcelonès,Barcelona,flat,115.0,Grande,2,1,1,1,41.3853328,2.1769286
3931,108813817,285000.0,12.560247968016562,Vallès Occidental,Sabadell,flat,134.0,Grande,4,2,3-4,1,41.5486403,2.0890099
3932,108813966,495000.0,13.112315061750808,Barcelonès,Barcelona,flat,94.0,Grande,4,1,3-4,1,41.4001613,2.1824801
3933,108797418,269000.0,12.502470376049185,Maresme,Palafolls,duplex,126.0,Grande,4,2,0,0,41.6729422,2.7497661
3934,108813835,839000.0,13.639967177343745,Barcelonès,Barcelona,flat,176.0,Muy Grande,4,3,0,1,41.3844704,2.161471
3935,108813842,335000.0,12.721888795877375,Vallès Occidental,Terrassa,duplex,177.0,Muy Grande,4,3,3-4,1,41.5693341,1.9998366
3936,108813812,185000.0,12.128116509451258,Maresme,Mataró,penthouse,78.0,Mediana,3,2,0,1,41.5362309,2.4265572
3937,108813833,270000.0,12.506180941677357,Vallès Occidental,Terrassa,flat,105.0,Grande,3,2,0,1,41.5538099,2.0130233
3938,108813862,199000.0,12.201065128819632,Barcelonès,Hospitalet de Llobregat,flat,59.0,Mediana,2,1,0,0,41.3627725,2.0934071
3939,108813700,585000.0,13.279368835614243,Barcelonès,Barcelona,chalet,130.0,Grande,5,3,0,0,41.4099388,2.1849195
3940,108813782,190000.0,12.154784614286667,Barcelonès,Barcelona,flat,43.0,Pequeña,2,1,5+,0,41.3824094,2.1369924
3941,108803608,259000.0,12.464587201678082,Baix Llobregat,Hospitalet de Llobregat,flat,94.0,Grande,3,1,3-4,1,41.3700193,2.0993094
3942,108813524,107000.0,11.580593459194764,Vallès Occidental,Terrassa,flat,88.0,Mediana,3,1,2,0,41.5629046,2.029303
3943,108763241,645000.0,13.377007146164305,Barcelonès,Barcelona,duplex,124.0,Grande,3,2,5+,1,41.3900783,2.1874583
3944,108813507,228000.0,12.337105293891872,Barcelonès,Barcelona,flat,79.0,Mediana,3,1,0,1,41.3605296,2.1425938
3945,108813552,480000.0,13.081543466215237,Baix Llobregat,Torrelles de Llobregat,chalet,167.0,Muy Grande,3,3,0,0,41.3557575,1.9498379
3946,108813384,165000.0,12.013706813470414,Baix Llobregat,Sant Andreu de la Barca,studio,40.0,Pequeña,0,1,1,0,41.4470486,1.9737174
3948,108786158,175000.0,12.07254696717504,Barcelonès,Hospitalet de Llobregat,flat,70.0,Mediana,3,1,2,1,41.366646,2.1159665
3949,106063851,250000.0,12.429220196836383,Maresme,Arenys de Mar,chalet,146.0,Grande,4,2,0,0,41.5794765,2.5501618
3950,108813387,255000.0,12.449022745701502,Barcelonès,Barcelona,flat,74.0,Mediana,2,1,3-4,0,41.4254002,2.1566119
3951,108813307,167000.0,12.025755079404917,Vallès Oriental,Martorelles,flat,78.0,Mediana,3,1,0,0,41.5270375,2.2311896
3952,108432704,420000.0,12.948012371209098,Vallès Oriental,Granollers,chalet,241.0,Muy Grande,5,3,0,0,41.5979353,2.2880304
3953,108803656,185000.0,12.128116509451258,Anoia,Igualada,flat,149.0,Grande,4,2,2,1,41.585342,1.6165885
3954,108813074,194000.0,12.175618592671356,Garraf,Vilanova i la Geltrú,countryHouse,85.0,Mediana,2,1,0,0,41.2386348,1.6870221
3955,108813151,290000.0,12.577639650232573,Vallès Oriental,Montornès del Vallès,flat,94.0,Grande,4,2,2,1,41.5464924,2.2705931
3956,107487408,209900.0,12.254391269970792,Vallès Occidental,Terrassa,flat,105.0,Grande,4,2,3-4,1,41.574615,2.0057011
3957,108813089,284000.0,12.556733038263905,Barcelonès,Hospitalet de Llobregat,flat,96.0,Grande,3,2,3-4,1,41.3661488,2.1260093
3958,108813025,460000.0,13.038983942375959,Barcelonès,Barcelona,flat,82.0,Mediana,4,2,3-4,1,41.37936,2.174685
3959,107385429,209900.0,12.254391269970792,Vallès Occidental,Terrassa,penthouse,105.0,Grande,4,2,0,1,41.5709315,2.0042776
3960,107533621,125000.0,11.736077016252437,Osona,Centelles,flat,70.0,Mediana,1,1,1,0,41.7998309,2.2193861
3961,108812982,246374.0,12.41461004445502,Barcelonès,Barcelona,flat,34.0,Pequeña,1,1,2,0,41.3803314,2.1890401
3962,108812918,695000.0,13.451668563394815,Barcelonès,Badalona,duplex,124.0,Grande,3,2,5+,1,41.4395519,2.2418309
3963,108813012,350000.0,12.765691290604371,Barcelonès,Barcelona,flat,84.0,Mediana,3,2,5+,1,41.4263113,2.1827185
3964,108812989,145000.0,11.884495917930655,Vallès Occidental,Vacarisses,chalet,66.0,Mediana,1,1,0,0,41.6106828,1.8699621
3965,108812935,650000.0,13.384729180332174,Vallès Oriental,Santa Eulàlia de Ronçana,chalet,372.0,Muy Grande,5,4,0,0,41.6564656,2.2152832
3967,108812850,189000.0,12.149507585033072,Anoia,Vilanova del Camí,flat,94.0,Grande,3,2,3-4,1,41.5753056,1.6373822
3968,108812727,222804.0,12.31405222843516,Garraf,Vilanova i la Geltrú,flat,78.0,Mediana,3,1,0,1,41.2198855,1.7151102
3969,108508137,130000.0,11.775297421715827,Barcelonès,Barcelona,flat,21.0,Pequeña,1,1,0,0,41.3804174,2.1876182
3970,108527850,339000.0,12.733758336210744,Barcelonès,Hospitalet de Llobregat,flat,82.0,Mediana,3,2,0,1,41.3600346,2.125364
3971,108527497,520000.0,13.161586013632684,Barcelonès,Hospitalet de Llobregat,flat,114.0,Grande,4,2,2,1,41.3627109,2.1249026
3972,107141780,375000.0,12.834683971615659,Barcelonès,Badalona,duplex,106.0,Grande,3,2,0,1,41.4449759,2.2394549
3973,108177868,234900.0,12.366919427768636,Maresme,Mataró,duplex,60.0,Mediana,2,2,0,1,41.5385429,2.4517801
3974,108812684,219000.0,12.296831574998258,Maresme,Mataró,flat,84.0,Mediana,3,1,1,0,41.5461478,2.4398021
3975,108802002,143000.0,11.870606902224587,Berguedà,Bagà,flat,63.0,Mediana,3,1,3-4,0,42.2528478,1.8647328
3976,108812516,99900.0,11.511934974596555,Barcelonès,Barcelona,flat,39.0,Pequeña,2,1,5+,0,41.3775814,2.1652487
3977,108812500,260000.0,12.468440756144114,Barcelonès,Barcelona,flat,60.0,Mediana,3,1,2,0,41.3791341,2.1273329
3978,108812425,205000.0,12.230770136157428,Barcelonès,Hospitalet de Llobregat,flat,66.0,Mediana,3,1,3-4,1,41.3700032,2.1055486
3979,108289167,183000.0,12.117246896289503,Bages,Manresa,flat,133.0,Grande,3,2,1,1,41.7363414,1.8357863
3980,108812340,426000.0,12.962196972666593,Baix Llobregat,Sant esteve Sesrovires,chalet,338.0,Muy Grande,4,2,0,0,41.5054118,1.880607
3981,108812036,748000.0,13.525159593854116,Barcelonès,Barcelona,flat,180.0,Muy Grande,1,1,0,0,41.3891845,2.1746399
3982,108812017,306000.0,12.631343648903034,Barcelonès,Barcelona,flat,97.0,Grande,2,1,0,0,41.3804367,2.1795942
3983,108812009,495000.0,13.112315061750808,Maresme,Cabrils,chalet,310.0,Muy Grande,6,2,0,0,41.520231,2.3854668
3984,108811964,586500.0,13.281929652104052,Barcelonès,Barcelona,flat,157.0,Muy Grande,2,2,1,1,41.3812847,2.1802532
3985,108811976,807500.0,13.601699572468275,Barcelonès,Barcelona,flat,133.0,Grande,2,2,2,1,41.3775623,2.1791133
3986,108811911,135000.0,11.813037464800539,Barcelonès,Hospitalet de Llobregat,penthouse,60.0,Mediana,2,1,0,0,41.3709043,2.1012638
3987,108811715,450000.0,13.017005083966255,Barcelonès,Barcelona,chalet,87.0,Mediana,3,1,0,0,41.361898,2.1420678
3988,108811687,290000.0,12.577639650232573,Barcelonès,Barcelona,flat,54.0,Mediana,1,1,1,0,41.3726176,2.1640436
3989,108811666,450000.0,13.017005083966255,Garraf,Sant Pere de Ribes,duplex,137.0,Grande,4,3,1,1,41.2200375,1.7501322
3990,108523630,152500.0,11.934926432385152,Maresme,Tordera,flat,76.0,Mediana,3,2,0,0,41.6915885,2.7211165
3991,108811379,294000.0,12.591338447675579,Alt Penedès,Gelida,chalet,125.0,Grande,3,3,0,0,41.4239098,1.8404187
3992,108811339,145000.0,11.884495917930655,Barcelonès,Hospitalet de Llobregat,flat,60.0,Mediana,2,1,3-4,0,41.3734675,2.1096518
3993,108811333,850000.0,13.652992804936396,Barcelonès,Barcelona,penthouse,122.0,Grande,4,2,0,1,41.4040217,2.1986081
3994,108811191,140000.0,11.849404844423074,Barcelonès,Hospitalet de Llobregat,penthouse,60.0,Mediana,3,1,0,0,41.3706042,2.1176328
3995,108811245,370000.0,12.821260987319457,Vallès Occidental,Terrassa,duplex,145.0,Grande,4,2,3-4,1,41.5712201,2.0231609
3996,108811124,150000.0,11.918397239722838,Barcelonès,Hospitalet de Llobregat,flat,100.0,Grande,3,1,1,0,41.373936,2.1026588
3997,108810760,490000.0,13.102162710901053,Baix Llobregat,Sant Feliu de Llobregat,duplex,110.0,Grande,4,2,1,0,41.3800549,2.0418981
3998,108810609,495000.0,13.112315061750808,Vallès Oriental,Bigues i Riells,chalet,288.0,Muy Grande,6,3,0,0,41.6770988,2.2326516
