propertyCode,nom_comar,municipality,price_true,price_pred,abs_error,idealista_url,undervaluation_pct,y_pred_log,y_true_log,res_log,res_zscore,priority_score
108830392,Osona,Sant Pere de Torelló,253001.0000000001,367847.9563421855,114846.95634218541,https://www.idealista.com/inmueble/108830392/,31.221311512561623,12.815424969662459,12.441148720271016,0.37427624939144266,1.5851911845043678,69.41065359392417
108836943,Barcelonès,Badalona,125000.99999999967,181499.18752263236,56498.187522632696,https://www.idealista.com/inmueble/108836943/,31.128617319891614,12.109006456217697,11.736077016252436,0.3729294399652616,1.579486974223697,69.17464135063503
108813507,Barcelonès,Barcelona,228001.00000000003,331024.8734099387,103023.87340993868,https://www.idealista.com/inmueble/108813507/,31.122698529773228,12.709948797789453,12.337105293891872,0.37284350389758103,1.5791230048370748,69.1595791159535
108469016,Vallès Occidental,Sabadell,185001.00000000006,268375.3794365799,83374.37943657982,https://www.idealista.com/inmueble/108469016/,31.06632941203987,12.50014194900991,12.128116509451258,0.3720254395586515,1.5756582154454504,69.01617705179142
108850016,Baix Llobregat,Cervelló,199900.99999999997,289950.3675451212,90049.3675451212,https://www.idealista.com/inmueble/108850016/,31.056821313084903,12.577465040919307,12.20557752297723,0.37188751794207775,1.5750740690265932,68.99199698995722
105716019,Baix Llobregat,Martorell,93001.00000000007,134833.66018410568,41832.66018410561,https://www.idealista.com/inmueble/105716019/,31.025383518467212,11.811797150919196,11.440365524765756,0.3714316261534396,1.5731432074087048,68.91206468518818
108791091,Barcelonès,Barcelona,150001.00000000006,217460.11171669397,67459.11171669391,https://www.idealista.com/inmueble/108791091/,31.021372694123936,12.28977071828606,11.918397239722838,0.371373478563223,1.5728969319702784,68.90186884499511
108859084,Bages,Manresa,180001.00000000003,260842.41073247185,80841.41073247182,https://www.idealista.com/inmueble/108859084/,30.99243351779374,12.47167171365302,12.100717685412471,0.3709540282405488,1.571120412741709,68.82831584470689
108896029,Barcelonès,Barcelona,130001.00000000032,188146.8292525768,58145.829252576485,https://www.idealista.com/inmueble/108896029/,30.904495963904285,12.14497794364773,11.775297421715829,0.36968052193190104,1.5657266668730854,68.60494718092556
107870820,Baix Llobregat,Viladecans,294001.00000000064,424958.93320207513,130957.93320207449,https://www.idealista.com/inmueble/107870820/,30.816609081565485,12.959747815477968,12.59133844767558,0.3684093678023874,1.5603428833080644,68.38191285633778
108317686,Vallès Occidental,Santa Perpètua de Mogoda,113000.99999999993,163062.48947817675,50061.48947817682,https://www.idealista.com/inmueble/108317686/,30.700800434471923,12.001888777352761,11.635151947212842,0.366736830139919,1.553259099705425,68.0883332952931
108802482,Baix Llobregat,Cornellà de Llobregat,105000.99999999997,151516.65418164994,46515.65418164997,https://www.idealista.com/inmueble/108802482/,30.70002728933242,11.928450826481605,11.561725152903833,0.36672567357777197,1.5532118477518382,68.08637453508784
108828770,Baix Llobregat,Cornellà de Llobregat,328001.0000000002,473148.69448875036,145147.6944887502,https://www.idealista.com/inmueble/108828770/,30.67697241468374,13.067164982741513,12.700771936142122,0.3663930465993914,1.5518030558375384,68.02797236540476
